Ticker,PE,PB,ROE,Debt/Equity
TSLA,379.19998,19.049185,0.049250003,17.763
AMZN,33.48656,6.845057,0.24327,43.405
AAPL,34.350834,45.30095,1.5202099,102.63
KO,25.385962,10.555638,0.42442,144.771
PLTR,246.16173,56.977757,0.19504,3.52
LMT,29.18279,21.37824,0.76865,338.804
TMQ,,7.0306516,-0.069970004,0.095
RLKB,,,,
WMT,44.13589,10.508545,0.23661,66.747
T,8.832237,1.7094289,0.18805,120.664
MMM,25.596666,17.155943,0.75501,268.991
AMD,125.66667,6.4617033,0.05317,6.366
A,28.948692,5.56729,0.20618999,52.559
ABNB,28.785715,8.537533,0.30776,26.458
GOOGL,33.503944,10.605625,0.3545,11.424
T,8.827302,1.7084739,0.18805,120.664
