Ticker,,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Average Dilution Earnings,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Gain On Sale Of Ppe,Gain On Sale Of Business,Impairment Of Capital Assets,Earnings From Equity Interest,Gain On Sale Of Security,Other Operating Expenses,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Amortization,Amortization Of Intangibles Income Statement,General And Administrative Expense,Other Gand A,Salaries And Wages,Other Special Charges,Write Off,Selling And Marketing Expense,Earnings From Equity Interest Net Of Tax,Preferred Stock Dividends,Net Income Discontinuous Operations,Total Other Finance Cost,Occupancy And Equipment,Professional Expense And Contract Services Expense,Other Non Interest Expense,Other Taxes
TSLA,2025-12-31,-133380000.0,0.27,12258000000.0,-494000000.0,-494000000.0,3794000000.0,6148000000.0,77733000000.0,11764000000.0,5616000000.0,1342000000.0,338000000.0,1680000000.0,4154620000.0,3794000000.0,89978000000.0,,4355000000.0,3526250000.0,3224750000.0,1.08,1.176525,3794000000.0,,3794000000.0,,3794000000.0,-61000000.0,3855000000.0,3855000000.0,1423000000.0,5278000000.0,-913000000.0,-419000000.0,-494000000.0,494000000.0,1342000000.0,338000000.0,1680000000.0,4849000000.0,12245000000.0,6411000000.0,5834000000.0,17094000000.0,77733000000.0,94827000000.0,94827000000.0,,,,,,,,,,,,,,,,,,,,,,,,
TSLA,2024-12-31,-136800000.0,0.2,15392000000.0,-684000000.0,-684000000.0,7130000000.0,5368000000.0,80240000000.0,14708000000.0,9340000000.0,1219000000.0,350000000.0,1569000000.0,7677200000.0,7130000000.0,89930000000.0,1003000000.0,7076000000.0,3216000000.0,3216000000.0,2.04,2.23,7130000000.0,0.0,7130000000.0,,7130000000.0,-23000000.0,7153000000.0,7153000000.0,1837000000.0,8990000000.0,11000000.0,695000000.0,-684000000.0,684000000.0,1219000000.0,350000000.0,1569000000.0,7760000000.0,9690000000.0,4540000000.0,5150000000.0,17450000000.0,80240000000.0,97690000000.0,97690000000.0,,,,,,,,,,,,,,,,,,,,,,,,
TSLA,2023-12-31,0.0,0.21,14796000000.0,0.0,0.0,14999000000.0,4667000000.0,79113000000.0,14796000000.0,10129000000.0,910000000.0,156000000.0,1066000000.0,14999000000.0,14999000000.0,87882000000.0,1268000000.0,8891000000.0,3482750000.0,3173500000.0,4.31,4.725697,14999000000.0,0.0,14999000000.0,,14999000000.0,25000000.0,14974000000.0,14974000000.0,-5001000000.0,9973000000.0,172000000.0,172000000.0,0.0,0.0,910000000.0,156000000.0,1066000000.0,8891000000.0,8769000000.0,3969000000.0,4800000000.0,17660000000.0,79113000000.0,96773000000.0,96773000000.0,,,,,,,,,,,,,,,,,,,,,,,,
TSLA,2022-12-31,-14080000.0,0.08,17833000000.0,-176000000.0,-176000000.0,12583000000.0,3747000000.0,60609000000.0,17657000000.0,13910000000.0,106000000.0,191000000.0,297000000.0,12744920000.0,12583000000.0,67630000000.0,1509000000.0,13656000000.0,3475000000.0,3130000000.0,3.62,4.02,12584000000.0,1000000.0,12583000000.0,,12583000000.0,-4000000.0,12587000000.0,12587000000.0,1132000000.0,13719000000.0,-219000000.0,-43000000.0,-176000000.0,176000000.0,106000000.0,191000000.0,297000000.0,13832000000.0,7021000000.0,3075000000.0,3946000000.0,20853000000.0,60609000000.0,81462000000.0,81462000000.0,,,,,,,,,,,,,,,,,,,,,,,,
TSLA,2021-12-31,,,,,,,,,,,,,,,,,978000000.0,,,,,,,9000000.0,,-5000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMQ,2024-11-30,0.0,0.0,-6697000.0,1000.0,1000.0,-8587000.0,4000.0,4000.0,-6696000.0,-6700000.0,685000.0,,685000.0,-8588000.0,-8587000.0,6700000.0,,,159829344.0,159829344.0,-0.05,-0.05,-8587000.0,,-8587000.0,,-8587000.0,,-8587000.0,-8587000.0,,-8587000.0,-2572000.0,63000.0,0.0,,685000.0,,685000.0,-6700000.0,6696000.0,,6588000.0,-4000.0,4000.0,0.0,0.0,0.0,,0.0,-2636000.0,1000.0,108000.0,,,,,6588000.0,2141000.0,4447000.0,,,,,,,,,,,
TMQ,2023-11-30,0.0,0.0,-7209000.0,-5000.0,-5000.0,-14951000.0,8000.0,8000.0,-7214000.0,-7222000.0,120000.0,,120000.0,-14946000.0,-14951000.0,7222000.0,,,152647254.0,152647254.0,-0.1,-0.1,-14951000.0,,-14951000.0,,-14951000.0,,-14951000.0,-14951000.0,,-14951000.0,-7849000.0,,0.0,,120000.0,,120000.0,-7222000.0,7214000.0,,7041000.0,-8000.0,8000.0,0.0,0.0,0.0,0.0,0.0,-7844000.0,-5000.0,173000.0,8000.0,8000.0,8000.0,8000.0,7041000.0,2401000.0,4640000.0,,,,,,,,,,,
TMQ,2022-11-30,0.0,0.0,-6938000.0,12000.0,12000.0,-24257000.0,17000.0,17000.0,-6926000.0,-6943000.0,34000.0,,34000.0,-24269000.0,-24257000.0,6943000.0,,,145721736.0,145721736.0,-0.17,-0.17,-24257000.0,,-24257000.0,,-24257000.0,,-24257000.0,-24257000.0,,-24257000.0,-17348000.0,,-6000.0,,34000.0,,34000.0,-6943000.0,6926000.0,,6696000.0,-17000.0,17000.0,0.0,0.0,84000.0,84000.0,90000.0,-17360000.0,18000.0,230000.0,17000.0,17000.0,17000.0,17000.0,6696000.0,2285000.0,4411000.0,,,,,,,,,,,
TMQ,2021-11-30,0.0,0.0,-8523000.0,-36000.0,-36000.0,-21660000.0,21000.0,21000.0,-8559000.0,-8580000.0,16000.0,,16000.0,-21624000.0,-21660000.0,8580000.0,,,144428926.0,144428926.0,-0.15,-0.15,-21660000.0,,-21660000.0,,-21660000.0,,-21660000.0,-21660000.0,,-21660000.0,-13096000.0,22000.0,0.0,,16000.0,,16000.0,-8580000.0,8559000.0,,7814000.0,-21000.0,21000.0,0.0,0.0,0.0,0.0,0.0,-13082000.0,-36000.0,745000.0,21000.0,21000.0,21000.0,21000.0,7814000.0,2335000.0,5479000.0,,,,,,,,,,,
KO,2024-12-31,-369396000.0,0.186,17803000000.0,-1986000000.0,-1986000000.0,10631000000.0,1075000000.0,18324000000.0,15817000000.0,14742000000.0,-668000000.0,1656000000.0,988000000.0,12247604000.0,10631000000.0,33039000000.0,,9992000000.0,4320000000.0,4309000000.0,2.46,2.47,10631000000.0,,10631000000.0,,10631000000.0,-18000000.0,10649000000.0,10649000000.0,2437000000.0,13086000000.0,-268000000.0,-52000000.0,-2301000000.0,2246000000.0,-668000000.0,1656000000.0,988000000.0,14022000000.0,14715000000.0,,7957000000.0,28737000000.0,18324000000.0,47061000000.0,47061000000.0,,842000000.0,886000000.0,1770000000.0,315000000.0,6758000000.0,,,,,286000000.0,,286000000.0,-23000000.0,34000000.0,7671000000.0,,,,,,,,
